ERROR-BARCODE-NOT-IN-SYSTEM:nothing,b

ERROR-BARCODE-NOT-IN-SYSTEM:lasix,b
ERROR-BARCODE-NOT-IN-SYSTEM:test of this,b
ERROR-BARCODE-NOT-IN-SYSTEM:asa,b
ERROR-BARCODE-NOT-IN-SYSTEM:needle prick,b
ERROR-BARCODE-NOT-IN-SYSTEM:multivitamin tablet,10000151
ERROR-BARCODE-NOT-IN-SYSTEM:hydrocodone/APAP 5/500 mg tablet,b
ERROR-BARCODE-NOT-IN-SYSTEM:cefotaxime 1 gm in 50 mL NSS,10001240
ERROR-BARCODE-NOT-IN-SYSTEM:0.9% Sodium Chloride Injection, USP 250 mL,b
ERROR-BARCODE-NOT-IN-SYSTEM:Amiodarone 200 mg,b
ERROR-BARCODE-NOT-IN-SYSTEM:Levetiracetam,b
ERROR-BARCODE-NOT-IN-SYSTEM:10000151,10000151
ERROR-BARCODE-NOT-IN-SYSTEM:multi vit,10000151
ERROR-BARCODE-NOT-IN-SYSTEM:vitamin,10000151
ERROR-BARCODE-NOT-IN-SYSTEM:10001240,10001240
ERROR-BARCODE-NOT-IN-SYSTEM:cef,cefotaxime
ERROR-BARCODE-NOT-IN-SYSTEM:cefotaxime,10001240
ERROR-BARCODE-NOT-IN-SYSTEM:pizza,b
ERROR-BARCODE-NOT-IN-SYSTEM:10001349,10001349
ERROR-BARCODE-NOT-IN-SYSTEM:candy,b
ERROR-BARCODE-NOT-IN-SYSTEM:a,fdsa
ERROR-BARCODE-NOT-IN-SYSTEM:tests,b
ERROR-BARCODE-NOT-IN-SYSTEM:fdsa,b
ERROR-BARCODE-NOT-IN-SYSTEM:fdsa,b
ERROR-BARCODE-NOT-IN-SYSTEM:asdf,b
ERROR-BARCODE-NOT-IN-SYSTEM:dsa,as
ERROR-BARCODE-NOT-IN-SYSTEM:fdsa,b
ERROR-BARCODE-NOT-IN-SYSTEM:rewq,as
ERROR-BARCODE-NOT-IN-SYSTEM:fdsa,b
ERROR-BARCODE-NOT-IN-SYSTEM:fdsa,b
ERROR-BARCODE-NOT-IN-SYSTEM:asdf,b
ERROR-BARCODE-NOT-IN-SYSTEM:fdsa,rewq
ERROR-BARCODE-NOT-IN-SYSTEM:iukjgkj,b
ERROR-BARCODE-NOT-IN-SYSTEM:sdfgjgfds,b
ERROR-BARCODE-NOT-IN-SYSTEM:asdgd,b
ERROR-BARCODE-NOT-IN-SYSTEM:fds,fdas
ERROR-BARCODE-NOT-IN-SYSTEM:fdsa,b
